Date;Open;High;Low;Close;Adj Close;Volume
27/11/2023;7009,630859;7061,827148;7008,812988;7013,405762;7013,405762;163462500
28/11/2023;7013,405762;7067,143066;7010,825195;7041,073242;7041,073242;167633600
29/11/2023;7041,073242;7070,190918;7020,012207;7036,086914;7036,086914;167555900
30/11/2023;7036,086914;7109,608887;7036,086914;7080,741211;7080,741211;259745500
01/12/2023;7080,061035;7083,855957;7022,765137;7059,905762;7059,905762;265990100
04/12/2023;7060,041992;7149,244141;7060,041992;7093,600098;7093,600098;308380600
05/12/2023;7093,056152;7117,578125;7047,631836;7100,85498;7100,85498;319577000
06/12/2023;7100,85498;7140,157227;7085,812012;7087,39502;7087,39502;272847500
07/12/2023;7087,39502;7134,623047;7041,008789;7134,623047;7134,623047;235230700
08/12/2023;7134,623047;7201,628906;7123,037109;7159,598145;7159,598145;270037600
11/12/2023;7139,275879;7153,115234;7045,172852;7088,785156;7088,785156;490104800
12/12/2023;7104,972168;7134,220215;7082,879883;7125,307129;7125,307129;255110500
13/12/2023;7110,077148;7124,475098;7045,942871;7075,34082;7075,34082;182766500
14/12/2023;7134,041992;7191,15918;7115,446777;7176,016113;7176,016113;228648300
15/12/2023;7183,148926;7215,937012;7169,430176;7190,987793;7190,987793;207901200
18/12/2023;7181,434082;7192,89209;7092,027832;7119,524902;7119,524902;239480200
19/12/2023;7116,545898;7187,846191;7112,817871;7187,846191;7187,846191;155446500
20/12/2023;7207,180176;7237,96582;7196,241211;7219,666992;7219,666992;142313600
21/12/2023;7222,092773;7229,288086;7173,007813;7209,619141;7209,619141;144347800
22/12/2023;7225,620117;7248,547852;7218,174805;7237,519043;7237,519043;111284900
27/12/2023;7256,158203;7293,524902;7239,663086;7245,916016;7245,916016;124953000
28/12/2023;7266,568848;7308,205078;7262,253906;7303,888184;7303,888184;123036000
29/12/2023;7307,11084;7309,782227;7259,682129;7272,796875;7272,796875;123172800
02/01/2024;7268,397949;7323,587891;7245,565918;7323,587891;7323,587891;121359000
03/01/2024;7316,108887;7321,878906;7275,874023;7279,09082;7279,09082;159498400
04/01/2024;7290,064941;7371,234863;7280,407227;7359,763184;7359,763184;155674900
05/01/2024;7376,288086;7403,578125;7350,619141;7350,619141;7350,619141;163057200
08/01/2024;7362,046875;7393,131836;7275,170898;7283,575195;7283,575195;140602400
09/01/2024;7299,783203;7311,638184;7180,157227;7200,203125;7200,203125;152570700
10/01/2024;7187,580078;7259,601074;7152,87793;7227,296875;7227,296875;152699300
11/01/2024;7253,456055;7277,500977;7219,963867;7219,963867;7219,963867;190523900
12/01/2024;7242,367188;7271,87207;7205,758789;7241,138184;7241,138184;152196500
15/01/2024;7254,044922;7281,26123;7206,307129;7224,000977;7224,000977;132959600
16/01/2024;7231,63916;7268,178223;7210,028809;7242,787109;7242,787109;130295500
17/01/2024;7248,01416;7252,457031;7162,484863;7200,634766;7200,634766;202143100
18/01/2024;7198,850098;7267,080078;7185,378906;7252,966797;7252,966797;158921700
19/01/2024;7271,341797;7277,979004;7170,805176;7227,401855;7227,401855;137359600
22/01/2024;7233,172852;7247,928223;7194,951172;7247,928223;7247,928223;141722200
23/01/2024;7232,516113;7256,229004;7201,829102;7256,229004;7256,229004;132610200
24/01/2024;7255,77002;7271,958008;7170,297852;7227,823242;7227,823242;128902300
25/01/2024;7215,526855;7253,720215;7176,111816;7178,041992;7178,041992;130391900
26/01/2024;7152,269043;7166,689941;7099,083984;7137,087891;7137,087891;140214300
29/01/2024;7147,714844;7177,696777;7115,036133;7157,174805;7157,174805;160408500
30/01/2024;7147,23584;7213,188965;7133,61377;7192,21582;7192,21582;182161800
31/01/2024;7213,307129;7247,518066;7192,644043;7207,940918;7207,940918;170270400
01/02/2024;7221,852051;7248,529785;7191,694824;7201,695801;7201,695801;157409100
02/02/2024;7221,900879;7238,785156;7180,356934;7238,785156;7238,785156;114364900
05/02/2024;7237,334961;7254,088867;7186,170898;7198,615234;7198,615234;137325900
06/02/2024;7230,148926;7268,131836;7212,140137;7247,408203;7247,408203;138020300
07/02/2024;7264,976074;7285,12793;7225,449219;7235,151855;7235,151855;138054800
12/02/2024;7268,334961;7306,158203;7250,310059;7297,668945;7297,668945;178661300
13/02/2024;7301,587891;7301,587891;7197,827148;7209,741211;7209,741211;128287400
15/02/2024;7337,630859;7365,682129;7298,481934;7303,280762;7303,280762;184420400
16/02/2024;7337,815918;7370,569824;7314,882813;7335,544922;7335,544922;146427800
19/02/2024;7323,312012;7339,755859;7277,537109;7296,702148;7296,702148;151238000
20/02/2024;7320,723145;7354,10791;7309,498047;7352,601074;7352,601074;129972000
21/02/2024;7345,791016;7370,881836;7286,669922;7349,020996;7349,020996;152570100
22/02/2024;7334,952148;7365,76123;7321,522949;7339,63623;7339,63623;154523800
23/02/2024;7326,526855;7340,189941;7262,100098;7295,095215;7295,095215;146259500
26/02/2024;7277,640137;7295,14209;7252,28418;7283,823242;7283,823242;147080400
27/02/2024;7263,987793;7292,931152;7255,124023;7285,316895;7285,316895;183851000
28/02/2024;7292,075195;7328,73877;7289,257813;7328,63623;7328,63623;220356500
29/02/2024;7326,803223;7337,922852;7289,341797;7316,11084;7316,11084;230050900
01/03/2024;7318,666016;7331,315918;7269,894043;7311,907227;7311,907227;134622000
04/03/2024;7318,832031;7328,384766;7259,780762;7276,749023;7276,749023;168064100
05/03/2024;7296,53418;7305,446777;7238,338867;7247,459961;7247,459961;152811800
06/03/2024;7252,084961;7331,081055;7248,527832;7329,800781;7329,800781;180285900
07/03/2024;7338,731934;7386,874023;7334,308105;7373,963867;7373,963867;193312700
08/03/2024;7398,429199;7416,433105;7376,155762;7381,907227;7381,907227;125243200
13/03/2024;7422,301758;7441,616211;7392,01123;7421,207031;7421,207031;135225800
14/03/2024;7405,566895;7454,448242;7380,647949;7433,314941;7433,314941;129206200
